id,country_name,country_id,is_active,created_by,created_date,updated_by,updated_date
1,Afghanistan,1,1,admin,"2023-06-14 03:33:06",NULL,NULL
2,Albania,2,1,admin,"2023-06-14 03:33:06",NULL,NULL
3,Algeria,3,1,admin,"2023-06-14 03:33:06",NULL,NULL
4,"American Samoa",4,1,admin,"2023-06-14 03:33:06",NULL,NULL
5,Andorra,5,1,admin,"2023-06-14 03:33:06",NULL,NULL
6,Angola,6,1,admin,"2023-06-14 03:33:06",NULL,NULL
7,Anguilla,7,1,admin,"2023-06-14 03:33:06",NULL,NULL
8,Antarctica,8,1,admin,"2023-06-14 03:33:06",NULL,NULL
9,"Antigua And Barbuda",9,1,admin,"2023-06-14 03:33:06",NULL,NULL
10,Argentina,10,1,admin,"2023-06-14 03:33:06",NULL,NULL
11,Armenia,11,1,admin,"2023-06-14 03:33:06",NULL,NULL
12,Aruba,12,1,admin,"2023-06-14 03:33:06",NULL,NULL
13,Australia,13,1,admin,"2023-06-14 03:33:06",NULL,NULL
14,Austria,14,1,admin,"2023-06-14 03:33:06",NULL,NULL
15,Azerbaijan,15,1,admin,"2023-06-14 03:33:06",NULL,NULL
16,"Bahamas The",16,1,admin,"2023-06-14 03:33:06",NULL,NULL
17,Bahrain,17,1,admin,"2023-06-14 03:33:06",NULL,NULL
18,Bangladesh,18,1,admin,"2023-06-14 03:33:06",NULL,NULL
19,Barbados,19,1,admin,"2023-06-14 03:33:06",NULL,NULL
20,Belarus,20,1,admin,"2023-06-14 03:33:06",NULL,NULL
21,Belgium,21,1,admin,"2023-06-14 03:33:06",NULL,NULL
22,Belize,22,1,admin,"2023-06-14 03:33:06",NULL,NULL
23,Benin,23,1,admin,"2023-06-14 03:33:06",NULL,NULL
24,Bermuda,24,1,admin,"2023-06-14 03:33:06",NULL,NULL
25,Bhutan,25,1,admin,"2023-06-14 03:33:06",NULL,NULL
26,Bolivia,26,1,admin,"2023-06-14 03:33:06",NULL,NULL
27,"Bosnia and Herzegovina",27,1,admin,"2023-06-14 03:33:06",NULL,NULL
28,Botswana,28,1,admin,"2023-06-14 03:33:06",NULL,NULL
29,"Bouvet Island",29,1,admin,"2023-06-14 03:33:06",NULL,NULL
30,Brazil,30,1,admin,"2023-06-14 03:33:06",NULL,NULL
31,"British Indian Ocean Territory",31,1,admin,"2023-06-14 03:33:06",NULL,NULL
32,Brunei,32,1,admin,"2023-06-14 03:33:06",NULL,NULL
33,Bulgaria,33,1,admin,"2023-06-14 03:33:06",NULL,NULL
34,"Burkina Faso",34,1,admin,"2023-06-14 03:33:06",NULL,NULL
35,Burundi,35,1,admin,"2023-06-14 03:33:06",NULL,NULL
36,Cambodia,36,1,admin,"2023-06-14 03:33:06",NULL,NULL
37,Cameroon,37,1,admin,"2023-06-14 03:33:06",NULL,NULL
38,Canada,38,1,admin,"2023-06-14 03:33:06",NULL,NULL
39,"Cape Verde",39,1,admin,"2023-06-14 03:33:06",NULL,NULL
40,"Cayman Islands",40,1,admin,"2023-06-14 03:33:06",NULL,NULL
41,"Central African Republic",41,1,admin,"2023-06-14 03:33:06",NULL,NULL
42,Chad,42,1,admin,"2023-06-14 03:33:06",NULL,NULL
43,Chile,43,1,admin,"2023-06-14 03:33:06",NULL,NULL
44,China,44,1,admin,"2023-06-14 03:33:06",NULL,NULL
45,"Christmas Island",45,1,admin,"2023-06-14 03:33:06",NULL,NULL
46,"Cocos (Keeling) Islands",46,1,admin,"2023-06-14 03:33:06",NULL,NULL
47,Colombia,47,1,admin,"2023-06-14 03:33:06",NULL,NULL
48,Comoros,48,1,admin,"2023-06-14 03:33:06",NULL,NULL
49,"Republic Of The Congo",49,1,admin,"2023-06-14 03:33:06",NULL,NULL
50,"Democratic Republic Of The Congo",50,1,admin,"2023-06-14 03:33:06",NULL,NULL
51,"Cook Islands",51,1,admin,"2023-06-14 03:33:06",NULL,NULL
52,"Costa Rica",52,1,admin,"2023-06-14 03:33:06",NULL,NULL
53,"Cote D'Ivoire (Ivory Coast)",53,1,admin,"2023-06-14 03:33:06",NULL,NULL
54,"Croatia (Hrvatska)",54,1,admin,"2023-06-14 03:33:06",NULL,NULL
55,Cuba,55,1,admin,"2023-06-14 03:33:06",NULL,NULL
56,Cyprus,56,1,admin,"2023-06-14 03:33:06",NULL,NULL
57,"Czech Republic",57,1,admin,"2023-06-14 03:33:06",NULL,NULL
58,Denmark,58,1,admin,"2023-06-14 03:33:06",NULL,NULL
59,Djibouti,59,1,admin,"2023-06-14 03:33:06",NULL,NULL
60,Dominica,60,1,admin,"2023-06-14 03:33:06",NULL,NULL
61,"Dominican Republic",61,1,admin,"2023-06-14 03:33:06",NULL,NULL
62,"East Timor",62,1,admin,"2023-06-14 03:33:06",NULL,NULL
63,Ecuador,63,1,admin,"2023-06-14 03:33:06",NULL,NULL
64,Egypt,64,1,admin,"2023-06-14 03:33:06",NULL,NULL
65,"El Salvador",65,1,admin,"2023-06-14 03:33:06",NULL,NULL
66,"Equatorial Guinea",66,1,admin,"2023-06-14 03:33:06",NULL,NULL
67,Eritrea,67,1,admin,"2023-06-14 03:33:06",NULL,NULL
68,Estonia,68,1,admin,"2023-06-14 03:33:06",NULL,NULL
69,Ethiopia,69,1,admin,"2023-06-14 03:33:06",NULL,NULL
70,"External Territories of Australia",70,1,admin,"2023-06-14 03:33:06",NULL,NULL
71,"Falkland Islands",71,1,admin,"2023-06-14 03:33:06",NULL,NULL
72,"Faroe Islands",72,1,admin,"2023-06-14 03:33:06",NULL,NULL
73,"Fiji Islands",73,1,admin,"2023-06-14 03:33:06",NULL,NULL
74,Finland,74,1,admin,"2023-06-14 03:33:06",NULL,NULL
75,France,75,1,admin,"2023-06-14 03:33:06",NULL,NULL
76,"French Guiana",76,1,admin,"2023-06-14 03:33:06",NULL,NULL
77,"French Polynesia",77,1,admin,"2023-06-14 03:33:06",NULL,NULL
