id,state_name,state_id,country_id,is_active,created_by,created_date,updated_by,updated_date
1,"Andaman and Nicobar Islands",1,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
2,"Andhra Pradesh",2,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
3,"Arunachal Pradesh",3,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
4,Assam,4,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
5,Bihar,5,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
6,Chandigarh,6,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
7,Chhattisgarh,7,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
8,"Dadra and Nagar Haveli",8,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
9,"Daman and Diu",9,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
10,Delhi,10,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
11,Goa,11,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
12,Gujarat,12,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
13,Haryana,13,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
14,"Himachal Pradesh",14,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
15,"Jammu and Kashmir",15,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
16,Jharkhand,16,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
17,Karnataka,17,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
19,Kerala,19,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
20,Lakshadweep,20,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
21,"Madhya Pradesh",21,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
22,Maharashtra,22,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
23,Manipur,23,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
24,Meghalaya,24,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
25,Mizoram,25,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
26,Nagaland,26,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
29,Odisha,29,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
30,"Paschim Medinipur",30,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
31,Pondicherry,31,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
32,Punjab,32,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
33,Rajasthan,33,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
34,Sikkim,34,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
35,"Tamil Nadu",35,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
36,Telangana,36,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
37,Tripura,37,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
38,"Uttar Pradesh",38,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
39,Uttarakhand,39,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
41,"West Bengal",41,101,1,admin,"2023-06-14 03:39:07",NULL,NULL
42,Badakhshan,42,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
43,Badgis,43,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
44,Baglan,44,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
45,Balkh,45,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
46,Bamiyan,46,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
47,Farah,47,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
48,Faryab,48,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
49,Gawr,49,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
50,Gazni,50,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
51,Herat,51,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
52,Hilmand,52,1,1,admin,"2023-06-14 03:39:07",NULL,NULL
